Lat:    34.8333, Lon:  -123.0000, Parameter: z(m)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
22-Nov-2017 04:59:59    -0.5233
22-Nov-2017 05:59:59    -0.3060
22-Nov-2017 06:59:59    -0.0973
22-Nov-2017 07:59:59     0.0658
22-Nov-2017 08:59:59     0.1626
22-Nov-2017 09:59:59     0.1924
22-Nov-2017 10:59:59     0.1730
22-Nov-2017 11:59:59     0.1344
22-Nov-2017 12:59:59     0.1095
22-Nov-2017 13:59:59     0.1240
22-Nov-2017 14:59:59     0.1891
22-Nov-2017 15:59:59     0.2979
22-Nov-2017 16:59:59     0.4262
22-Nov-2017 17:59:59     0.5392
22-Nov-2017 18:59:59     0.6001
22-Nov-2017 19:59:59     0.5802
22-Nov-2017 20:59:59     0.4667
22-Nov-2017 21:59:59     0.2670
22-Nov-2017 22:59:59     0.0083
22-Nov-2017 23:59:59    -0.2683
23-Nov-2017 00:59:59    -0.5161
23-Nov-2017 01:59:59    -0.6936
23-Nov-2017 02:59:59    -0.7733
23-Nov-2017 03:59:59    -0.7472
23-Nov-2017 04:59:59    -0.6279
23-Nov-2017 05:59:59    -0.4451
23-Nov-2017 06:59:59    -0.2380
23-Nov-2017 07:59:59    -0.0458
23-Nov-2017 08:59:59     0.1012
23-Nov-2017 09:59:59     0.1878
23-Nov-2017 10:59:59     0.2162
23-Nov-2017 11:59:59     0.2035
23-Nov-2017 12:59:59     0.1761
23-Nov-2017 13:59:59     0.1612
23-Nov-2017 14:59:59     0.1788
23-Nov-2017 15:59:59     0.2358
23-Nov-2017 16:59:59     0.3237
23-Nov-2017 17:59:59     0.4204
23-Nov-2017 18:59:59     0.4959
23-Nov-2017 19:59:59     0.5204
23-Nov-2017 20:59:59     0.4721
23-Nov-2017 21:59:59     0.3440
23-Nov-2017 22:59:59     0.1466
23-Nov-2017 23:59:59    -0.0934
24-Nov-2017 00:59:59    -0.3384
24-Nov-2017 01:59:59    -0.5477
24-Nov-2017 02:59:59    -0.6865
24-Nov-2017 03:59:59    -0.7330
24-Nov-2017 04:59:59    -0.6835
24-Nov-2017 05:59:59    -0.5521
24-Nov-2017 06:59:59    -0.3674
24-Nov-2017 07:59:59    -0.1656
24-Nov-2017 08:59:59     0.0179
24-Nov-2017 09:59:59     0.1562
24-Nov-2017 10:59:59     0.2361
24-Nov-2017 11:59:59     0.2600
24-Nov-2017 12:59:59     0.2439
24-Nov-2017 13:59:59     0.2117
24-Nov-2017 14:59:59     0.1880
24-Nov-2017 15:59:59     0.1912
24-Nov-2017 16:59:59     0.2280
24-Nov-2017 17:59:59     0.2915
24-Nov-2017 18:59:59     0.3627
24-Nov-2017 19:59:59     0.4155
24-Nov-2017 20:59:59     0.4240
24-Nov-2017 21:59:59     0.3694
24-Nov-2017 22:59:59     0.2461
24-Nov-2017 23:59:59     0.0638
25-Nov-2017 00:59:59    -0.1529
25-Nov-2017 01:59:59    -0.3698
25-Nov-2017 02:59:59    -0.5498
25-Nov-2017 03:59:59    -0.6613
25-Nov-2017 04:59:59    -0.6851
25-Nov-2017 05:59:59    -0.6182
25-Nov-2017 06:59:59    -0.4751
25-Nov-2017 07:59:59    -0.2839
25-Nov-2017 08:59:59    -0.0799
25-Nov-2017 09:59:59     0.1018
25-Nov-2017 10:59:59     0.2344
25-Nov-2017 11:59:59     0.3043
25-Nov-2017 12:59:59     0.3136
25-Nov-2017 13:59:59     0.2780
25-Nov-2017 14:59:59     0.2220
25-Nov-2017 15:59:59     0.1718
25-Nov-2017 16:59:59     0.1483
25-Nov-2017 17:59:59     0.1609
25-Nov-2017 18:59:59     0.2056
25-Nov-2017 19:59:59     0.2656
25-Nov-2017 20:59:59     0.3160
25-Nov-2017 21:59:59     0.3306
25-Nov-2017 22:59:59     0.2892
25-Nov-2017 23:59:59     0.1839
26-Nov-2017 00:59:59     0.0221
26-Nov-2017 01:59:59    -0.1739
26-Nov-2017 02:59:59    -0.3710
26-Nov-2017 03:59:59    -0.5325
26-Nov-2017 04:59:59    -0.6266
26-Nov-2017 05:59:59    -0.6333
26-Nov-2017 06:59:59    -0.5496
26-Nov-2017 07:59:59    -0.3904
26-Nov-2017 08:59:59    -0.1855
26-Nov-2017 09:59:59     0.0273
26-Nov-2017 10:59:59     0.2101
26-Nov-2017 11:59:59     0.3337
26-Nov-2017 12:59:59     0.3834
26-Nov-2017 13:59:59     0.3619
26-Nov-2017 14:59:59     0.2879
26-Nov-2017 15:59:59     0.1903
26-Nov-2017 16:59:59     0.1009
26-Nov-2017 17:59:59     0.0460
26-Nov-2017 18:59:59     0.0392
26-Nov-2017 19:59:59     0.0786
26-Nov-2017 20:59:59     0.1469
26-Nov-2017 21:59:59     0.2162
26-Nov-2017 22:59:59     0.2560
26-Nov-2017 23:59:59     0.2412
27-Nov-2017 00:59:59     0.1596
27-Nov-2017 01:59:59     0.0164
27-Nov-2017 02:59:59    -0.1661
27-Nov-2017 03:59:59    -0.3532
27-Nov-2017 04:59:59    -0.5052
27-Nov-2017 05:59:59    -0.5868
27-Nov-2017 06:59:59    -0.5765
27-Nov-2017 07:59:59    -0.4714
27-Nov-2017 08:59:59    -0.2890
27-Nov-2017 09:59:59    -0.0638
27-Nov-2017 10:59:59     0.1606
27-Nov-2017 11:59:59     0.3413
27-Nov-2017 12:59:59     0.4458
27-Nov-2017 13:59:59     0.4595
27-Nov-2017 14:59:59     0.3886
27-Nov-2017 15:59:59     0.2585
27-Nov-2017 16:59:59     0.1065
27-Nov-2017 17:59:59    -0.0271
27-Nov-2017 18:59:59    -0.1093
27-Nov-2017 19:59:59    -0.1230
27-Nov-2017 20:59:59    -0.0707
27-Nov-2017 21:59:59     0.0258
27-Nov-2017 22:59:59     0.1321
27-Nov-2017 23:59:59     0.2095
28-Nov-2017 00:59:59     0.2265
28-Nov-2017 01:59:59     0.1670
28-Nov-2017 02:59:59     0.0356
28-Nov-2017 03:59:59    -0.1426
28-Nov-2017 04:59:59    -0.3275
28-Nov-2017 05:59:59    -0.4739
28-Nov-2017 06:59:59    -0.5423
28-Nov-2017 07:59:59    -0.5097
28-Nov-2017 08:59:59    -0.3756
28-Nov-2017 09:59:59    -0.1632
28-Nov-2017 10:59:59     0.0852
28-Nov-2017 11:59:59     0.3182
28-Nov-2017 12:59:59     0.4870
28-Nov-2017 13:59:59     0.5572
28-Nov-2017 14:59:59     0.5168
28-Nov-2017 15:59:59     0.3796
28-Nov-2017 16:59:59     0.1810
28-Nov-2017 17:59:59    -0.0302
28-Nov-2017 18:59:59    -0.2040
28-Nov-2017 19:59:59    -0.3017
28-Nov-2017 20:59:59    -0.3053
28-Nov-2017 21:59:59    -0.2217
28-Nov-2017 22:59:59    -0.0806
28-Nov-2017 23:59:59     0.0734
29-Nov-2017 00:59:59     0.1926
29-Nov-2017 01:59:59     0.2389
29-Nov-2017 02:59:59     0.1942
29-Nov-2017 03:59:59     0.0658
29-Nov-2017 04:59:59    -0.1153
29-Nov-2017 05:59:59    -0.3014
29-Nov-2017 06:59:59    -0.4405
29-Nov-2017 07:59:59    -0.4897
29-Nov-2017 08:59:59    -0.4266
29-Nov-2017 09:59:59    -0.2561
29-Nov-2017 10:59:59    -0.0103
29-Nov-2017 11:59:59     0.2587
29-Nov-2017 12:59:59     0.4910
29-Nov-2017 13:59:59     0.6332
